"schoolid","schoolname","calendaryear","firsttimebaryear","state","takers","passers","schoolpasspct","passpct","passpctdiff"
"00100300","Faulkner University","2009","2008","AL","58","54","0.93100000","0.89020000","0.04080000"
"00100300","Faulkner University","2009","2008","GA","3","3","1.00000000","0.89270000","0.10730000"
"00100300","Faulkner University","2010","2009","AL","65","58","0.89230000","0.86510000","0.02720000"
"00100300","Faulkner University","2010","2009","TN","2","2","1.00000000","0.82440000","0.17560000"
"00100300","Faulkner University","2011","2010","AL","60","55","0.91670000","0.84910000","0.06760000"
"00100300","Faulkner University","2011","2010","GA","8","7","0.87500000","0.83610000","0.03890000"
"00100300","Faulkner University","2011","2010","SC","4","4","1.00000000","0.79690000","0.20310000"
"00100300","Faulkner University","2011","2010","TN","2","2","1.00000000","0.84240000","0.15760000"
"00100300","Faulkner University","2012","2011","AL","71","64","0.90140000","0.87580000","0.02560000"
"00100300","Faulkner University","2012","2011","GA","14","12","0.85710000","0.84770000","0.00940000"
"00100300","Faulkner University","2013","2012","AL","53","50","0.94340000","0.87560000","0.06780000"
"00100300","Faulkner University","2013","2012","FL","5","4","0.80000000","0.79320000","0.00680000"
"00100300","Faulkner University","2013","2012","GA","9","6","0.66670000","0.83980000","-0.17310000"
"00100300","Faulkner University","2013","2012","TN","7","5","0.71430000","0.77120000","-0.05690000"
"00100300","Faulkner University","2014","2013","AL","67","64","0.95520000","0.86890000","0.08630000"
"00100300","Faulkner University","2014","2013","TN","7","4","0.57140000","0.85490000","-0.28350000"
"00100300","Faulkner University","2015","2014","AL","58","40","0.68970000","0.88450000","-0.19480000"
"00100300","Faulkner University","2016","2015","AL","63","43","0.68250000","0.82190000","-0.13940000"
"00100300","Faulkner University","2016","2015","FL","4","1","0.25000000","0.67790000","-0.42790000"
"00100300","Faulkner University","2016","2015","GA","10","4","0.40000000","0.73450000","-0.33450000"
"00100300","Faulkner University","2016","2015","TN","4","3","0.75000000","0.78040000","-0.03040000"
"00100300","Faulkner University","2016","2015","TX","3","2","0.66670000","0.73210000","-0.06540000"
"00100300","Faulkner University","2017","2016","AL","59","45","0.76270000","0.79510000","-0.03240000"
"00100300","Faulkner University","2018","2017","AL","57","30","0.52630000","0.79290000","-0.26660000"
"00100300","Faulkner University","2019","2018","AL","61","36","0.59020000","0.79580000","-0.20560000"
"00100300","Faulkner University","2020","2019","AL","55","45","0.81820000","0.86290000","-0.04470000"
"00103600","Samford University","2009","2008","AL","92","88","0.95650000","0.89020000","0.06630000"
"00103600","Samford University","2009","2008","GA","22","20","0.90910000","0.89270000","0.01640000"
"00103600","Samford University","2010","2009","AL","105","97","0.92380000","0.86510000","0.05870000"
"00103600","Samford University","2011","2010","AL","117","110","0.94020000","0.84910000","0.09110000"
"00103600","Samford University","2012","2011","AL","107","99","0.92520000","0.87580000","0.04940000"
"00103600","Samford University","2013","2012","AL","112","108","0.96430000","0.87560000","0.08870000"
"00103600","Samford University","2014","2013","AL","102","88","0.86270000","0.86890000","-0.00620000"
"00103600","Samford University","2014","2013","GA","24","19","0.79170000","0.85150000","-0.05980000"
"00103600","Samford University","2015","2014","AL","83","70","0.84340000","0.88450000","-0.04110000"
"00103600","Samford University","2015","2014","GA","17","13","0.76470000","0.80230000","-0.03760000"
"00103600","Samford University","2016","2015","AL","81","63","0.77780000","0.82190000","-0.04410000"
"00103600","Samford University","2016","2015","GA","11","10","0.90910000","0.73450000","0.17460000"
"00103600","Samford University","2017","2016","AL","113","76","0.67260000","0.79510000","-0.12250000"
