"schoolid","schoolname","calendaryear","firsttimebaryear","gradtotal","graddidnottake","graddidnottakepct","gradnoinfo","gradnoinfopct","graddidnottakenoinfopct","prioryrfirsttimetaker","totalfirsttimetakers","totalfirsttimepassers","reportpct","avgschoolpasspct","avgstatepasspct","avgpasspctdiff","ultimatebaryear","ultimatecohorttotal","ultimatedidnottake","ultimatenoinfo","ultimatetakers","ultimatepassers","ultimateschoolpasspct"
"00100300","Faulkner University","2009","2008","","","","","","","","62","","0.98390000","0.93440000","0.89030000","0.04410000","","","","","","",""
"00100300","Faulkner University","2010","2009","","","","","","","","75","","0.89330000","0.89560000","0.86390000","0.03170000","","","","","","",""
"00100300","Faulkner University","2011","2010","","","","","","","","83","","0.89160000","0.91900000","0.84480000","0.07420000","","","","","","",""
"00100300","Faulkner University","2012","2011","","","","","","","","99","","0.85860000","0.89410000","0.87120000","0.02290000","","","","","","",""
"00100300","Faulkner University","2013","2012","","","","","","","","97","","0.76290000","0.87850000","0.85580000","0.02270000","","","","","","",""
"00100300","Faulkner University","2014","2013","","","","","","","","98","","0.75510000","0.91890000","0.86760000","0.05130000","","","","","","",""
"00100300","Faulkner University","2015","2014","","","","","","","","80","","0.72500000","0.68970000","0.88450000","-0.19480000","","","","","","",""
"00100300","Faulkner University","2016","2015","","","","","","","","91","","0.97800000","0.65140000","0.79860000","-0.14720000","","","","","","",""
"00100300","Faulkner University","2017","2016","77","13","","3","","","10","71","","","0.70420000","0.78040000","-0.07620000","","","","","","",""
"00100300","Faulkner University","2018","2017","74","8","","7","","","14","73","","","0.50680000","0.78000000","-0.27320000","2015","89","2","0","87","72","0.82760000"
"00100300","Faulkner University","2019","2018","83","18","0.21690000","0","0.00000000","0.21690000","11","76","42","","0.55270000","0.77560000","-0.22290000","2016","77","2","0","75","60","0.80000000"
"00100300","Faulkner University","2020","2019","62","8","0.12900000","0","0.00000000","0.12900000","17","71","52","","0.73240000","0.83760000","-0.10520000","2017","74","2","0","72","45","0.62500000"
"00103600","Samford University","2009","2008","","","","","","","","156","","0.73080000","0.94730000","0.89070000","0.05660000","","","","","","",""
"00103600","Samford University","2010","2009","","","","","","","","150","","0.70000000","0.92380000","0.86510000","0.05870000","","","","","","",""
"00103600","Samford University","2011","2010","","","","","","","","148","","0.79050000","0.94020000","0.84910000","0.09110000","","","","","","",""
"00103600","Samford University","2012","2011","","","","","","","","141","","0.75890000","0.92520000","0.87580000","0.04940000","","","","","","",""
"00103600","Samford University","2013","2012","","","","","","","","156","","0.71790000","0.96430000","0.87560000","0.08870000","","","","","","",""
"00103600","Samford University","2014","2013","","","","","","","","152","","0.82890000","0.84920000","0.86560000","-0.01640000","","","","","","",""
"00103600","Samford University","2015","2014","","","","","","","","123","","0.81300000","0.83000000","0.87050000","-0.04050000","","","","","","",""
"00103600","Samford University","2016","2015","","","","","","","","107","","0.85980000","0.79350000","0.81140000","-0.01790000","","","","","","",""
"00103600","Samford University","2017","2016","151","29","","0","","","21","143","","","0.63640000","0.77530000","-0.13890000","","","","","","",""
"00103600","Samford University","2018","2017","144","26","","7","","","21","132","","","0.70450000","0.78170000","-0.07720000","2015","134","12","13","109","99","0.90830000"
"00103600","Samford University","2019","2018","131","21","0.16030000","0","0.00000000","0.16030000","14","124","99","","0.79840000","0.78180000","0.01660000","2016","146","6","9","131","120","0.91600000"
"00103600","Samford University","2020","2019","138","12","0.08700000","1","0.00720000","0.09420000","13","138","114","","0.82610000","0.83310000","-0.00700000","2017","136","2","10","124","112","0.90320000"
"00105100","University of Alabama","2009","2008","","","","","","","","136","","0.77210000","0.97150000","0.88960000","0.08190000","","","","","","",""
"00105100","University of Alabama","2010","2009","","","","","","","","149","","0.78520000","0.96580000","0.86490000","0.10090000","","","","","","",""
"00105100","University of Alabama","2011","2010","","","","","","","","176","","0.72730000","0.95310000","0.84910000","0.10400000","","","","","","",""
"00105100","University of Alabama","2012","2011","","","","","","","","153","","0.77780000","0.94120000","0.87090000","0.07030000","","","","","","",""
"00105100","University of Alabama","2013","2012","","","","","","","","167","","0.74250000","0.96770000","0.87270000","0.09500000","","","","","","",""
"00105100","University of Alabama","2014","2013","","","","","","","","155","","0.70970000","0.96360000","0.86120000","0.10240000","","","","","","",""
"00105100","University of Alabama","2015","2014","","","","","","","","173","","0.80920000","0.95000000","0.86260000","0.08740000","","","","","","",""
"00105100","University of Alabama","2016","2015","","","","","","","","138","","0.75360000","0.91340000","0.81010000","0.10330000","","","","","","",""
"00105100","University of Alabama","2017","2016","144","17","","2","","","13","138","","","0.90580000","0.76410000","0.14170000","","","","","","",""
"00105100","University of Alabama","2018","2017","132","16","","2","","","14","128","","","0.93750000","0.77880000","0.15870000","2015","144","4","0","140","127","0.90710000"
"00105100","University of Alabama","2019","2018","137","14","0.10220000","0","0.00000000","0.10220000","8","131","115","","0.87790000","0.76830000","0.10960000","2016","144","4","1","139","137","0.98560000"
"00105100","University of Alabama","2020","2019","131","10","0.07630000","3","0.02290000","0.09920000","8","126","118","","0.93650000","0.81720000","0.11930000","2017","132","6","0","126","121","0.96030000"
"00108100","Arizona State University","2009","2008","","","","","","","","200","","0.86000000","0.89530000","0.84030000","0.05500000","","","","","","",""
"00108100","Arizona State University","2010","2009","","","","","","","","182","","0.79120000","0.83330000","0.79760000","0.03570000","","","","","","",""
"00108100","Arizona State University","2011","2010","","","","","","","","155","","0.91610000","0.85920000","0.80740000","0.05180000","","","","","","",""
"00108100","Arizona State University","2012","2011","","","","","","","","197","","0.82230000","0.85800000","0.75610000","0.10190000","","","","","","",""
"00108100","Arizona State University","2013","2012","","","","","","","","200","","0.84500000","0.86390000","0.80210000","0.06180000","","","","","","",""
"00108100","Arizona State University","2014","2013","","","","","","","","207","","0.91790000","0.87890000","0.78230000","0.09660000","","","","","","",""
"00108100","Arizona State University","2015","2014","","","","","","","","174","","0.98280000","0.89470000","0.73660000","0.15810000","","","","","","",""
"00108100","Arizona State University","2016","2015","","","","","","","","214","","0.85980000","0.84780000","0.65810000","0.18970000","","","","","","",""
"00108100","Arizona State University","2017","2016","173","20","","4","","","32","181","","","0.77350000","0.63230000","0.14120000","","","","","","",""
"00108100","Arizona State University","2018","2017","215","41","","0","","","13","187","","","0.75400000","0.64940000","0.10460000","2015","219","5","2","212","198","0.93400000"
"00108100","Arizona State University","2019","2018","269","43","0.15990000","0","0.00000000","0.15990000","35","261","194","","0.74330000","0.69910000","0.04420000","2016","173","6","0","167","155","0.92810000"
"00108100","Arizona State University","2020","2019","271","34","0.12550000","0","0.00000000","0.12550000","34","278","241","","0.86690000","0.74170000","0.12520000","2017","213","7","2","204","185","0.90690000"
"00108300","University of Arizona","2009","2008","","","","","","","","137","","0.86130000","0.91530000","0.82490000","0.09040000","","","","","","",""
"00108300","University of Arizona","2010","2009","","","","","","","","139","","0.71220000","0.92930000","0.79760000","0.13170000","","","","","","",""
"00108300","University of Arizona","2011","2010","","","","","","","","136","","0.83820000","0.93860000","0.79560000","0.14300000","","","","","","",""
"00108300","University of Arizona","2012","2011","","","","","","","","141","","0.71630000","0.85150000","0.75610000","0.09540000","","","","","","",""
"00108300","University of Arizona","2013","2012","","","","","","","","132","","0.71210000","0.91490000","0.80210000","0.11280000","","","","","","",""
"00108300","University of Arizona","2014","2013","","","","","","","","151","","0.74830000","0.80530000","0.77580000","0.02950000","","","","","","",""
"00108300","University of Arizona","2015","2014","","","","","","","","138","","0.73910000","0.88240000","0.73660000","0.14580000","","","","","","",""
"00108300","University of Arizona","2016","2015","","","","","","","","138","","0.71010000","0.80610000","0.65810000","0.14800000","","","","","","",""
"00108300","University of Arizona","2017","2016","108","13","","0","","","22","117","","","0.68380000","0.65780000","0.02600000","","","","","","",""
"00108300","University of Arizona","2018","2017","127","11","","1","","","6","121","","","0.72720000","0.67060000","0.05660000","2015","158","9","1","148","128","0.86490000"
"00108300","University of Arizona","2019","2018","128","21","0.16410000","0","0.00000000","0.16410000","6","113","73","","0.64600000","0.70700000","-0.06100000","2016","108","6","0","102","94","0.92160000"
"00108300","University of Arizona","2020","2019","103","23","0.22330000","0","0.00000000","0.22330000","13","114","76","","0.66670000","0.74470000","-0.07800000","2017","130","8","1","121","107","0.88430000"
"00110101","University of Arkansas-Little Rock","2009","2008","","","","","","","","124","","0.86290000","0.81310000","0.82530000","-0.01220000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2010","2009","","","","","","","","129","","0.79840000","0.64080000","0.74220000","-0.10140000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2011","2010","","","","","","","","119","","0.82350000","0.68370000","0.72480000","-0.04110000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2012","2011","","","","","","","","142","","0.80280000","0.83330000","0.83440000","-0.00110000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2013","2012","","","","","","","","141","","0.84400000","0.75630000","0.76540000","-0.00910000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2014","2013","","","","","","","","140","","0.85000000","0.70580000","0.77270000","-0.06690000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2015","2014","","","","","","","","131","","0.78630000","0.74760000","0.75580000","-0.00820000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2016","2015","","","","","","","","116","","0.83620000","0.76290000","0.76690000","-0.00400000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2017","2016","129","10","","5","","","3","117","","","0.66670000","0.69580000","-0.02910000","","","","","","",""
"00110101","University of Arkansas-Little Rock","2018","2017","120","6","","3","","","8","119","","","0.76470000","0.77220000","-0.00750000","2015","123","6","5","112","99","0.88390000"
"00110101","University of Arkansas-Little Rock","2019","2018","102","13","0.12750000","0","0.00000000","0.12750000","3","92","58","","0.63040000","0.70710000","-0.07670000","2016","128","1","2","125","109","0.87200000"
"00110101","University of Arkansas-Little Rock","2020","2019","121","12","0.09920000","0","0.00000000","0.09920000","8","117","79","","0.67520000","0.73420000","-0.05900000","2017","120","3","0","117","104","0.88890000"
"00110800","University of Arkansas-Fayetteville","2009","2008","","","","","","","","123","","0.72360000","0.82020000","0.82530000","-0.00510000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2010","2009","","","","","","","","118","","0.78810000","0.84950000","0.74220000","0.10730000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2011","2010","","","","","","","","128","","0.74220000","0.74740000","0.72480000","0.02260000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2012","2011","","","","","","","","115","","0.80000000","0.82610000","0.83520000","-0.00910000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2013","2012","","","","","","","","124","","0.82260000","0.82350000","0.76390000","0.05960000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2014","2013","","","","","","","","134","","0.73130000","0.85710000","0.76320000","0.09390000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2015","2014","","","","","","","","120","","0.88330000","0.76410000","0.76450000","-0.00040000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2016","2015","","","","","","","","116","","0.85340000","0.78790000","0.76650000","0.02140000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2017","2016","100","10","","0","","","4","94","","","0.75530000","0.72130000","0.03400000","","","","","","",""
"00110800","University of Arkansas-Fayetteville","2018","2017","119","14","","3","","","0","102","","","0.84310000","0.78170000","0.06140000","2015","137","6","1","130","112","0.86150000"
"00110800","University of Arkansas-Fayetteville","2019","2018","109","12","0.11010000","0","0.00000000","0.11010000","5","102","70","","0.68630000","0.71910000","-0.03280000","2016","100","3","0","97","94","0.96910000"
"00110800","University of Arkansas-Fayetteville","2020","2019","98","7","0.07140000","0","0.00000000","0.07140000","1","92","72","","0.78260000","0.75290000","0.02970000","2017","121","6","0","115","106","0.92170000"
"00116453","Chapman University","2009","2008","","","","","","","","175","","1.00000000","0.76570000","0.78270000","-0.01700000","","","","","","",""
"00116453","Chapman University","2010","2009","","","","","","","","159","","0.95600000","0.77630000","0.73190000","0.04440000","","","","","","",""
"00116453","Chapman University","2011","2010","","","","","","","","158","","0.95570000","0.68210000","0.71240000","-0.03030000","","","","","","",""
"00116453","Chapman University","2012","2011","","","","","","","","180","","0.96670000","0.78160000","0.72150000","0.06010000","","","","","","",""
"00116453","Chapman University","2013","2012","","","","","","","","174","","0.97700000","0.80000000","0.71430000","0.08570000","","","","","","",""
"00116453","Chapman University","2014","2013","","","","","","","","178","","1.00000000","0.76390000","0.71660000","0.04730000","","","","","","",""
"00116453","Chapman University","2015","2014","","","","","","","","146","","0.99320000","0.75860000","0.66770000","0.09090000","","","","","","",""
"00116453","Chapman University","2016","2015","","","","","","","","132","","1.00000000","0.72740000","0.64190000","0.08550000","","","","","","",""
"00116453","Chapman University","2017","2016","158","3","","0","","","1","156","","","0.58330000","0.60270000","-0.01940000","","","","","","",""
"00116453","Chapman University","2018","2017","149","6","","0","","","1","144","","","0.63880000","0.66340000","-0.02460000","2015","132","0","6","126","118","0.93650000"
