"schoolid","schoolname","calendaryear","schooltype","termtype","ftrestuition","ptrestuition","ftnonrestuition","ptnonrestuition","ftrestermtuition","ptrestermtuition","ftnonrestermtuition","ptnonrestermtuition","ftrescredtuition","ptrescredtuition","ftnonrescredtuition","ptnonrescredtuition","tuitionguarind","oncampuscosts","offcampuscosts","athomecosts"
"00100300","Faulkner University","2011","PRI","","32187","","32187","","","","","","","","","","N","","22400",""
"00100300","Faulkner University","2012","PRI","","33360","","33360","","","","","","","","","","N","","22400",""
"00100300","Faulkner University","2013","PRI","","34000","","34000","","","","","","","","","","N","","22500",""
"00100300","Faulkner University","2014","PRI","","34000","","34000","","","","","","","","","","N","","22500",""
"00100300","Faulkner University","2015","PRI","","35050","","35050","","","","","","","","","","N","","28400",""
"00100300","Faulkner University","2016","PRI","","37370","","37370","","","","","","","","","","N","","28400",""
"00100300","Faulkner University","2017","PRI","","38000","","38000","","","","","","","","","","N","","28000",""
"00100300","Faulkner University","2018","PRI","SEM","39184","","39184","","19592","","19592","","1400","","1400","","N","","28000","28000"
"00100300","Faulkner University","2019","PRI","SEM","39000","","39000","","19500","","19500","","","","","","N","","28000","28000"
"00103600","Samford University","2011","PRI","","34848","20714","34848","20714","","","","","","","","","N","","21902","21902"
"00103600","Samford University","2012","PRI","","36216","21367","36216","21367","","","","","","","","","N","","21934","21934"
"00103600","Samford University","2013","PRI","","36216","21367","36216","21367","","","","","","","","","N","","20274",""
"00103600","Samford University","2014","PRI","","36734","21673","36734","21673","","","","","","","","","N","","20996",""
"00103600","Samford University","2015","PRI","","37096","21889","37096","21889","","","","","","","","","N","","17311",""
"00103600","Samford University","2016","PRI","","37146","21916","37146","21916","","","","","","","","","N","","17433",""
"00103600","Samford University","2017","PRI","","38448","22716","38448","22716","","","","","","","","","N","","18022",""
"00103600","Samford University","2018","PRI","SEM","40150","","40150","","20075","","20075","","1300","","1300","","N","","15433",""
"00103600","Samford University","2019","PRI","SEM","41338","","41338","","20669","","20669","","1360","","1360","","N","","17834","7034"
"00105100","University of Alabama","2011","PUB","","18030","","30950","","","","","","","","","","N","16522","16522","16522"
"00105100","University of Alabama","2012","PUB","","19660","","32920","","","","","","","","","","N","16322","16322","16322"
"00105100","University of Alabama","2013","PUB","","20770","","34840","","","","","","","","","","N","17150","17150","17150"
"00105100","University of Alabama","2014","PUB","","21624","","36304","","","","","","","","","","N","18202","18202","18202"
"00105100","University of Alabama","2015","PUB","","22324","","37664","","","","","","","","","","N","17972","17972","17972"
"00105100","University of Alabama","2016","PUB","","23055","","39115","","","","","","","","","","N","18086","18086","18086"
"00105100","University of Alabama","2017","PUB","","23720","","40670","","","","","","","","","","N","18254","18254","18254"
"00105100","University of Alabama","2018","PUB","SEM","23920","","42180","","11960","","21090","","","","","","N","18772","18772","18772"
"00105100","University of Alabama","2019","PUB","SEM","23610","","43060","","11805","","21530","","","","","","N","19686","19686","19686"
"00108100","Arizona State University","2011","PUB","","24471","","38595","","","","","","","","","","N","20906","20906","20906"
"00108100","Arizona State University","2012","PUB","","26267","","40815","","","","","","","","","","N","21388","21388","21388"
"00108100","Arizona State University","2013","PUB","","26268","","40818","","","","","","","","","","N","21388","21388","21388"
"00108100","Arizona State University","2014","PUB","","26753","","41751","","","","","","","","","","N","21388","21388","21388"
"00108100","Arizona State University","2015","PUB","","27074","","42794","","","","","","","","","","N","21388","21388","21388"
"00108100","Arizona State University","2016","PUB","","27226","","43896","","","","","","","","","","N","21388","21388","21388"
"00108100","Arizona State University","2017","PUB","","27388","","44888","","","","","","","","","","N","21710","21710","21710"
"00108100","Arizona State University","2018","PUB","SEM","27584","","45940","","13792","","22970","","","","","","N","21710","21710","21710"
"00108100","Arizona State University","2019","PUB","SEM","28058","","47302","","14029","","23651","","","","","","N","22714","22714","22714"
"00108300","University of Arizona","2011","PUB","","26089","","41051","","","","","","","","","","N","21678","21678","14678"
"00108300","University of Arizona","2012","PUB","","27272","","42283","","","","","","","","","","N","22050","22050","10032"
"00108300","University of Arizona","2013","PUB","","24396","","38856","","","","","","","","","","N","23023","23023","10572"
"00108300","University of Arizona","2014","PUB","","24607","","29000","","","","","","","","","","N","20900","20900","12100"
"00108300","University of Arizona","2015","PUB","","24500","","29000","","","","","","","","","","N","21050","21050","12250"
"00108300","University of Arizona","2016","PUB","","24500","","29000","","","","","","","","","","N","21050","21050","13550"
"00108300","University of Arizona","2017","PUB","","25826","","30326","","","","","","","","","","N","21350","21350","12700"
"00108300","University of Arizona","2018","PUB","SEM","25828","","30328","","12914","","15164","","","","","","N","21350","21350","8000"
"00108300","University of Arizona","2019","PUB","SEM","25834","","30334","","12917","","15167","","","","","","N","21350","21350","8000"
"00110101","University of Arkansas-Little Rock","2011","PUB","","12176","8507","24772","16904","","","","","","","","","N","","16217","11517"
"00110101","University of Arkansas-Little Rock","2012","PUB","","12701","8867","25838","17625","","","","","","","","","N","15281","15643","10945"
"00110101","University of Arkansas-Little Rock","2013","PUB","","13353","9290","27147","18516","","","","","","","","","N","16273","17217","11902"
"00110101","University of Arkansas-Little Rock","2014","PUB","","13996","9374","28342","18460","","","","","","","","","N","14673","15139","9988"
"00110101","University of Arkansas-Little Rock","2015","PUB","","14447","9674","29223","19032","","","","","","","","","N","16256","15292","10152"
"00110101","University of Arkansas-Little Rock","2016","PUB","","15161","10605","30676","20948","","","","","","","","","N","16256","15292","10152"
"00110101","University of Arkansas-Little Rock","2017","PUB","","15732","11002","31675","21631","","","","","","","","","N","15677","15604","9396"
"00110101","University of Arkansas-Little Rock","2018","PUB","SEM","14520","","30480","","","","","","484","484","1016","1016","N","15677","15604","9369"
"00110101","University of Arkansas-Little Rock","2019","PUB","SEM","16738","11692","32711","22322","8369","5846","16356","11161","445","445","976","976","N","15725","15980","9581"
